Essays,Grammar,Lexical,Global Organization,Local Organization,Supporting Ideas,Holistic
"Should a government be allowed to limit the number of children a family can have?

Today, many children are the only child in their family because of the goverment’s birth control.Not like their parents,they don’t have brothers or sisters.And when they grow up,they have to work hard to feed a family .But does that policy kill basic human rights? In some degree,it really does.But it also protect the quality of life.
In China ,the government carrys out the only child policy.While in some developed countries,their governments encourge people to give birth to more children.The government’s policy is based on the condition of the country. And what the government does is try to improve national conditions as well as the quality of people’s life. Just list China as an example,China began to carry out family planning in full swing in 1971, bringing China's total fertility rate from 5.8 in 1970 to 2.24 in 1980, close to the world's advanced level.It also allows China to develop rapidly .There is also a negative example-India.India’s government doesn’t control the number of children.limited goods are divided to a large number of people,so each one has just a little.This has led to backwardness and overall poverty in India.It is obvious that without population control, the wanton development of the population will certainly increase the burden on the nation's economy and reduce people's happiness.
So the government doesn’t kill the basic human rights,but gives you more possibility to live more happier. The policy reduces mortality and makes sure everyone has enough resources.Now, the Chinese government has formulated a new population policy according to its national conditions.It is believed that such a policy will lead to further development of China and a better environment for people to live in.

",5,5,6.5,6,7.5,4.5
"The family planning policy was put forward by the Chinese government in the last century to curb the excessive growth of China's population. After thirty years of implementation, China's population birth rate has been greatly reduced. But it also brings a lot of new social problems.
The United Nations statistics show that China's aging rate is the fastest in the world. The aging of our population is not only the speed of the fastest, and the trend of ageing population is more than the development speed of national economic and social modernization of our society. The population is in the stage of rapid economic development, the per capita income level is low, the comprehensive national strength is not strong, the premise of the social security system is not sound. This kind of situation is opposite to the developed country's aging, and the developed country's population is aging and the industrialization of chemical industry has been completed, and the economy has reached a high level of development. In addition, China's population aging still has the characteristics of regional imbalance. The degree of aging in various regions in China has increased from west to East, and the gap between the regions is relatively large. In the eastern coastal areas, the proportion of elderly people over the age of 65 has exceeded 8%, with Shanghai reaching 11.46%. The proportion of the elderly population in the western region is below 5%, and some areas are still typical of the younger population structure. The difference in the degree of aging has further exacerbated the imbalance in regional economic development. Therefore, the problem of aging is not just a population problem, but it has also become a problem restricting economic and social development. For these reasons, a change of family planning policy is beneficial to the development of the country.
",5,8,5,6,6,4.5
"Our country is a country of large population. So I think the government should limit the number of children in a family. And family planning is the most effective way to solve the population problem, the seriousness of which we often underestimate. Quite obviously family planning play a great role in the development of our country.
　At a time when half of the world is suffering from starvation, poor health and a badly low standard of living, we simply cannot take lightly the population problem. If we don‘t control the birth rate right now we’ll surely lead a miserable life in the near future. illiteracy is perhaps the main enemy of family planning. Countries, which share the highest birth rate such as Brazil and India, are also those which share the highest illiteracy rate. People there don’t even know what ""birth control"" is. To me, the ignorance of family planning is a social problem. So we had better begin with social reforms through, say, legislation, etc. Of course, we cannot deny the necessity of the medical approach and we should use it in conjunction with other methods.
  But the family planning is not a plan that never changes. With the time goes by, 1 child in a family is not a good idea for a family and our country. The society needs energy to develop. So “two children” is the best idea now. only we control the plan in a good way, can we have a good result at population problem.


",4,5.5,5.5,4,5,3
"Recently,there is a topic becaming popular among the crowed.Should the government be allowed to limit the number of children a family can have?Someone insists that the family should have the rights to decide the number of children,while there also are a part of people think that the government should limit the number of children a family can have.As far as I am concerned,the family should have the rights to have more children but at the same time, the government should limit the number.
First of all,I want to mention that I am the only child of my family.So with my experience as the only child of my family,I can say ,there are advantages and disadvantage compared to the family who have more children.For example,I can have my own stuffs and place in my home not like the “children home”.The children have to share with the bed,the toys,the computer etc.Maybe this point will make the child become more selfish than others,which becomes the normal social reality in this ages.Maybe the only child could have their own stuffs,but the children are growing up together,During this time, they learned and play together.Whatever things they want to do ,there will not be alone.It’s obvious that the one child will lose many joy at the age of children.When it comes to the festival,everyone like to stay in the place where is full of people.Think about the one-child-family there are just three person at home.As the only child of my family,I will feel lonely in every Sping Festival.
However,the more children the family have does not mean the more joy the family will gain.let me take the Arican countries for instance.As we all know ,there are less policy to limit the number of children the family can have in African countries,so we can see there are many big family who has many children in African countries.But most of them are not rich enough to raise so many children at the same time.Even some families can not feed their children.In this situation, the number of children bring more stress to the family.Even worse,some families are too poor to afford the fees of raising a child,which makes the child starve to death.
   From the above of all,we can see the advantages and disadvantages clearly.We can tell the number of children should depend on the family.The family should have the rights to decide the number of their children.Anyway ,it also should depend on the environment.The family must decide how many children they can raise to decide how many they want.In addition, the government should play an important part to control the population of the country .Based on this,the government had better take some proper measures to control the population.In the mean while, the families should follow the policy the government made to make decisions. 
 
",5,6,6,6.5,5.5,4
"Up to now, it is reported that the number of population in China has reached more than 1.4 billion. Regarding to the explosion of population in China, I think government should control the number of children a family can have. 
As far as I am concerned, there are 3 main reasons that can hold my point. One is that though our country is the third largest country in the world, the average, whose whole land is divided by 1.4 billion, is way too little. We should control the number of children to upgrade our life quality and remaining social rights. Our public construction has overloaded for years. Everyone can not get enough what they want. We should reduce population to get our rights. Second is that by limiting the children's number, a family could save more time to look after their only one or two babies instead of figuring out when to take care their second child, when to take care their third child. As for the kids, they can have more time to spend with their parents equally and happily, without jealousy. Last but not least, the trend of aging population is one of the greatest impact to our country, right now, we should focus on that problem. The limitation on kids is not the most urgent one. We can have this debate, but this is not the most suitable time.
Though the limitation on children birth has many weak problems, we can't deny that this policy has made many great efforts to our society, gradually, turning a rude, weak country into a progressive and polite one. There is no such thing can always have good effects, without bad ones. I think the time would prove that this decision for now, is the best decision for our country. I believe ,when the time comes, a family can have more kids than two,which is not the right decision for now.

",7,5,6,6,6,4
"Never should a government has the right to limit the number of children of a family, it’s definitely a violation to basic human rights .Government gets the power from people, and every policy should be good to human rights not offensive. Some reminds us of the danger of population explosion, which can cause the consumption of resources and damage the basement of our society. However, I think it is not a wise idea to limit the number of children by carrying out some rules and bans. Those rules can never solve the problem eventually, and look like to violate basic human right – the right to have children. And this thought ignore the benefit of humans. With more people ,we can create more social wealth and make our world a better place where People can develop naturally and freely. Last century, china’s government carried out a policy called “one child policy’’ ,which means that one family both in city and country can have only one child. If a family want to have a second child , they must get permission and pay for the child’s social costs. In some places, mothers pregnant were forced to miscarry her child. We can read Moyan’s famous novel <<frog>> and learn something about this policy. 10 years passed , the policy have been proved to be successful, the rate of new-born children decreased sharply in China. But it brings one problem :the whole society becomes older, lacking work force to maintain social functioning.And the society agrees that 80s, 90s generation have too much burden. They come to realize the negative result of ‘’one-child policy’’, so the government have to encourage family to have more than two kids. Looking back the history, we know that it’s never a good idea to let the government limit the number of children of a family. But we must know that having too many children is not good for a family , either. it’s better to give a guidance to public in accordance  with reality of the family and country. At last, I think of the famous saying: we hold these truth to be self-evident that all man are created equal, that they are endowed by their creators with certain unalienable rights, that among these are life , liberty and pursuit of happiness.




",4.5,5,4,5,4.5,3
"It's an obligation to the government to regulate the population for the benefit of a country's development. The substance of 'one child police' and the one encouraging birth are the same, actually. For example, China in the 1980s punished the families that have too many children to limit the population and Russia today levies couples without children high taxes to encourage birth. Huge population will be a heavy burden of resources, energy, education and safety, which slows the stride of social development and triggers unfair social treatment because of the heavy load. Small population usually limit the labor, produce, community and economy, which also slows the stride of social development because of the lack of energy. The aim of these two different polices are both adjusting the population in a appropriate scale. 

Whether regulating the population by forcing people to raise children or not concerning human rights indeed. But the discussion of human rights should be based on the culture background. In the culture of community oriented, it's logical to follow the rational command of society. But in the one which is individual oriented, forcing someone to have children or raise only one child may conflict with his will. People in individual-oriented culture look like more selfish and people in community-oriented culture look like more compliant. Up to now, no government can keep the balance between absolute human rights and national policies successfully because the benefit conflicts always exist in the individual and community inevitably. Whether the policies protect human rights or not only can be judged by native people.

",6,6,4,5,5,4
"Not too long ago, the government opened the second child policy, which causing social heated debate. Thus, should government be allowed to limit the number of children a family can have has been turned into hot topic by people.
Well, on my own perspective, the answer is “Yes”.
In macroscopic view,our country, with a large population, puts Planned Parenthood into practice, which to a great extent restrained the growth of population.
This policy plays a positive role in reducing the pressure on many aspects by reducing the population growth. Such as resources, traffic, housing and job. Effective mitigation and adaptation in population growth can lead our country take the global challenge better and be a powerful country.
In Microscopically view,the policy also takes an active role.
First of all, lighten the family economical burden, especially in big cities. Therefore, parents can provide more high-quality education and so on.
Second,It is helpful for the development of children. Because parents can take more time and energy to bring up their children. And children will get more love and better resource in nearly all aspects.
In conclusion, I hold the view in government should be allowed to limit the number of children a family can have has been turned into hot topic by people.




",3,4.5,5,4,4.5,3
"The population in the world is increasing rapidly with the improvement of medical condition. In my opinion, a government should be allowed to limit the number of children a family can have, which actually is an effective policy to avoid the danger of population explosion.
As we all know, lots of problems will be brought with the rise of population. Food, water and even places where people live may be not enough for the whole world. And then there will be many wars about fighting for foods and other resources. Could human race live in such a riot? Besides, it is hard to imagine that after the war how many people would survive and if they still had the power to get over what would happen next and built a place comfortable enough for them to live with happiness.
However, the effective way to controlling the number of people may encroach human rights. In the history, usually, it is the family that decides on how many children they would have. And only a government respect the rights people have can the government has the faith of people to lead the country.
When you face with problems, you should look into it rather than see it in the surface. The influence of population explosion and the encroachment of human rights are the two problems come up from the limit of children number, which are the same questions as the future of human and the basic rights of human. Which one would you like to choose? 
",5,6,5.5,5.5,5,4
"China is a great country with the largest population in the world. In order to solve the population problem, our government decides to implemented one-child policy. When it is carried out for some time, many people not only see its advantages but also disadvantages. Thus, people argue that two-child policy should be put into effect. In my opinion, two-child policy should be carried out.
First of all, two-child policy is the gift for some only child. For some families, maybe the parents are only child and they also can have only child. Put aside the loneliness of their child, when their child grows up and they grow older, their child marry with an only child girl accidentally, the burden on their child and his wife is unimaginable heavy. Their child and his wife have to take care of two old couples. Usually, a young couple looking after an old couple is a little difficult; if the pressure increasing twice, how can they stand it. But if their parents have two children, they can share the burden of taking care of their parents. It would be much better.
Secondly, two-child policy can guarantee the number of Chinese population. As the widely spread of one-child policy, some people have changed their conception about giving birth. If they firmly believe one-child policy, there will be more and more the dink. After several decades, our country will famous for lack of population.
In conclusion, one-child policy has out of date. And tow-child policy is needed and necessary. It can solve the problem of nowadays and the future
",4,5.5,5.5,4.5,5,3
"Seeing the topic my first reaction was answer is no，of course！Because I just thought the statutory regulation is in violation of human rights to carry on the family line. But, as I read the question more carefully，finding that limit the number of children a family can have doesn't mean we can not have baby but we can‘t give birth indiscriminately I feel so sorry for how perfunctory I was.
       I started to wonder why the government want to set the regulation. The most Intuitional reason is that the population is overflowing in not only China but the whole world. And this is a significant problem needed to be solved. To solve it is too hard but to slow it down from now is necessary. I also find reasons in a deep way. That limit the number of children a family can have is expressing respect to lives，especially to those new lives.
       Follow my line of thinking，when we know the regulation is right there what would we do？We‘ll be more cautious every time we want to have a baby of our own. We’ll start to consider it early or late，right or wrong，this and that just to make sure this baby is priceless for us because chance is precious and the number is limited.

",4,5.5,4,4.5,4,3
"
Should a government be allowed to limit the number of children a family can have?

Many people think that the number of children a family can have is their own business.Actually,fertility is not has nothing to do with country, government, or the whole society, but this matters.On the one hand, children during growing up will certainly add large burden of society and the public finances.On the other hand, the population is the root of the country - it is the ultimate source of tax or other fiscal income, is the guarantee of sustaining social endowment , is also a symbol of national strength.It sounds like government should be allowed to limit the number of children a family can have. But this view is partial. Fertility policies should indeed be incorporated into important national policy decisions, but its content should be depend on the situation.
In the 1870s, heavy demographic pressures prevented the growth of the average household economy, and the single-child policy was fully implemented. Now, the demographic advantage is fading, the population is aging so the two-child policy is being introduced.Fertility policies must evolve with the time.
I know lots of people criticize China’s single-child policy in 1870s,thinking it infringes the basic human rights.But in the China when 1870s,in a world of competition and rivalry,how to make the new China's economy develop,to make China stand in the world is the most important. It is difficult to survive when the country is not strong, let alone human rights.
Anyway,from the current situation of natural resources in the world, population control is very important to study.The danger of population explosion should be avoid,but does it mean that limiting the number of children is the only way?The answer still needs to be explored.




",4,5,5,5,5,3
"As we all know, governments serve for people and they should fit the countries' situation to perform the policies. Each country has different culture and in the different place of the social evolution. Governments have the right to make the most important choice to satisfy the countries’ situation.
From a Western humanitarian view: It is wrong and a violation of human rights to limit reproduction. International human rights treaties protect reproductive freedoms and the freedoms to form a family. Limiting the population is contrary to human right and most people will disagree with the policy. It’s unreasonable for government to perform it. In fact, in most developed countries, there is no need to control the population. Because their population is not enough to cause some society matters. In general, the government should not limit family’s population in these developed countries. 
From a practical standpoint: China has 1.4 billion people, and in order to feed them, and provide jobs, the population must be slowed, or else civil unrest would grow and more people would die. The large population has caused many problems to China. For example, it's imbalanced between male and female population. In addition, it intensified an aging population. So people's quality will decrease. From another hand, the source is limited, the population must be limited. Otherwise, it's dangerous to the whole society. A lot of the developing country is growing at an astonishing rate. Most of these countries can't even produce enough food to feed themselves. In these situation, it is necessary to have a select few educated individuals to make decisions for the masses. Most of the time these individuals become corrupt, but it’s the best option.
On the whole, government should be allowed to limit population if it's neccessary to do that.
",5,5,6.5,6.5,6.5,4
"1, Objectively reduced the number of population born in 80-90, its harm is needless to say, since 2010 often appear in newspapers ""labor shortage"", ""shortage of consumer population"", ""aging society"" etc.. 
2, The imbalance of the sex ratio (caused by selective abortion), this is really no way, Chinese traditional thinking is deep-rooted, strict abortion will inevitably lead to selective abortion. 
3, That is what I said at the beginning, the selective implementation of the policy, the high-quality population of the reverse elimination. Why do you say that? Since the implementation of the one-child policy is the most thorough, civil servants, institutions, teachers and other groups, found that ultrasonic direct fired work; more thoroughly in rural areas, especially the concept of economic poverty in backward areas, fines into the business, family planning into the local government shaking Qian Shu. I do not have any prejudice against backward areas, but objectively, the strict one-child policy has indeed caused the backward elimination of high-quality population. 
4.The one-child policy has made the Chinese people pay a heavy price and should stop quickly. Even the perennial endorsement of official policy mistakes, Zhai Zhenwu, President of the China population society, nicknamed ""the official spokesperson"", said: ""I never said,"" I should have a baby"". He also believes that China's family planning policy has reached a period of adjustment.
5, And finally summed up a sentence: ""there is no mistake in planned birth, strict one-child is wrong."". The population is never the burden of a country. The low quality of the population and the deformity of the population structure are the heavy burdens of a country. 

",4,5.5,4,4,4,3
"Population and family planning has always been a controversial topic of our world which refers to the harmony of basic human rights and the problem of population explosion. But it is also consists of other factors such as policy, different public awareness between eastern and western countries and economical gap between developing and developed countries.
We all know that China is a country that using the birth control policy to limit the number of children a family can have. Owing to that ,the western world often critics Chinese government about the lack of human right protection. But as what I clarified in the beginning, it is not a simple and small question but refers to many fields which there are many difference between western developed countries and eastern developing countries.
Many people think that human right is one of the basic factors of our life especially western citizens. This view is from a kind of typical mind from individualism and liberalism which can traced to renaissance or even the ancient Geek time, the origin of western mind. After the world warⅡ, the awareness of protecting human right has been developing from it. Because of that, they, western people, are more likely to attack Chinese population and family planning, which violates the basic human rights.
However, considering the danger of population explosion and its harms to society , it seems like no position to attack. It is easy to imagine the if we doesn’t limit the population, there will be no enough resources to use for every individual. Many people will die because of starvation and poverty. If it does happen, the violation of human rights is more serious than population and family planning.
It is our own choice and responsibility to make a better world to live. So please be careful and responsible to make sure every decision and action we make is reasonable enough.
",5,5.5,5,4,5,3.5
"To my point of view, the government should be allowed to limit the number of children a family can have. Children, as a new born population and potential labor power, play an important role in the development of a country. Thus, it is necessary that government should make some effort to control the birth ratio of children.
Although it seems that interfering the birth of the children obeys basic human rights for it disturbs the natural rule of giving birth. Without population control, something even worse will appear. If a poor family wanted to have a boy so that they had given birth to many children which caused many children starve to die. Only in this situation, will the limitation of baby born from the government show its worth. And comparing to living right, scarifying the right to have babies freely seems ignorable. The necessity of the government to limit the number of children a family can have can be shown.
It is known to all that China enjoys the largest population of all the countries the world. With the rapid increasing number of new born babies, many serious problems come into being. For instance, huge number of children can cause the lacking of education sources, the pressure of competition among the children can cause suicide and so on. In this aspect, controlling the number of children a family have can help to solve many society problems. Thus, it is the government’s responsibility to take measure to limit the number of children in each family.
To sum up, no matter referring to personal rights or social smoothly running, the limitation of the children in each family is very necessary and should gain supports and understanding from the citizens. Allowing the government to control the population have more advantages than disadvantages and it is the tendency of civilized society, so it should be allowed.
",6,6,5,5.5,6,4
"I believe it is OK for the government to limit the number of children a family can have when the danger of population explosion is considered.
We have learned a lot from school about the drawback of population explosion. If there were too many people in the country, the natural sources like water and food would be in short. For example, last century many Chinese people died due to food shortage and the backward productivity when the government didn’t realize the importance of control population. What’s more, we can learn from many developed countries that the advanced productivity and education can lead to low growth rate of population, and low growth rate of population is helpful to improve life quality of people in the country in turn. We have to admit that One-child Policy really made a significant contribution to the social and economy development. People live a better life, and the quality of population is being raised now.
However, the limitation of the number of a family indeed caused some problems. And One-child Policy is always very easy to stimulate international controversy. From my perspective, the policy do violate our human rights. There is no perfect policy in the world. And Chinese government chose to exchange the human rights of one generation for the development of these years. And in the near future, aging society will come after Demographic Dividend. Despite the history, Chinese government should make a plan to deal with the situation. We need to figure out how to keep our economy increasing with an aging society when China is still a developing country.
It is good to know that the One-child policy has been changed. And it is the right choice because it may change the aging society timely and effectively. Whatever, the result of One-child policy is not bad, and I believe the situation will be better and better as long as the government can take measures decisively and accurately.
",6,5,6,6,6,4
"China had implemented a policy that a couple of citizens can be allowed to born only one baby, and a couple of villagers can be allowed to born no more than two babies. But this policy changed in recent years. Part of citizen couples can also have two babies.Many families changed their life plan and the policy brought great influence.It generate a heated discussion about should a government be allowed to limit the number of children a family can have.
Having babies is a basic human right.And some people never agreed with the birth control policy of government.They fought against the government by having three or even more children and running away from the legal punishment.Actually,concerning the human rights,a family have the right to decide how many children they’d like to have. Single child will under big press in the future. And if the single child died or become disabled by accident, their parents will be lack of support when they are old.But facing a situation of resources shortage and population explosion,it’s too selfish to just care about one’s own rights. 
Since the resources are running short,population explosion would make things even worse.From my point of view,under this circumstance,government should be allowed to limit the number of children a family can have.What’s more, the government should make specific plan to predict population and future difficulties so that they can carry out measures to prevent bigger tragedy from happening.Human rights are increasing significant,but the survival of man kind is always the top priority. 
With technologies developing,more kinds of resources will be discovered and put into use,people around the world will lead a more low-carbon life.I hope one day resources in the world will be enough for us to live our lives and create wonderful things.And at that time,families can decide how many babies they’d like to have and we don’t need to be worried about the resources. It’s a dream now,I wish this dream will come true. 
",7,6,6,7,6.5,5
"  There is a basic policy called Birth Control Policy which has been carried out in China since 1971.Considering that they may get punishment if they obeyed the law,many Chinese parents only have one child.
  I support that a government can limit the number of children a family can have.The government only limits the number of children without forbidding delivering a child.Parents can raise the one with love,hope and every emotion which the parents which had more children may have.And this child will get better food,better education and better life.
  If China didn’t limit the number of population,too large popution will bring the danger of population explosion.It will have bad influence to society and economic development.The poor people will increase.The number of the crime cases will increase.Besides, more children will get worse food,worse education and worse life.The happiness of children and parents will decrease.
  There is a generation which has been limited the number of children they can deliver in China.My parents is in this group.They have made a big contribution to China and even the whole world.I am proud of them.

",4,4,5,5,5,3
"The right to choose your children number
  It’s universally acknowledged that Chinese like a larger number of family members. Be that as it may, the Chinese government had carried out the “one family one child” policy for over forty years because of the huge population of China. Until last year, the policy was abolished, which aroused a heated argue over whether the government should be allowed to limit the number of children a family can have.
  Admitedly, more children may have negative influence to family, a country or the whole world. Frankly speaking,more family members means more expense, especially in lager cities. The faster the speed of the society development is, the more stress the young generation must shoulder. Worse more, if the number of children isn’t be limited, it may provoke population explosion. The natural resources, like lands, water and gas all rare and non-renewable, it’s impossible and beyond its bearing capacity of the globe to support more and more population.
  Though there are lots of disadvantage of more children, the government couldn’t limit the human rights to choose the number of their children. First, a only child always means a lonely child. The loneliness of the family, the busy work of their parents and the fast life speed may cause the mental disease of the young generation. Besides, the aging population is becoming increasingly prominent that can’t be ignored. The foundation of adjusting the population structure is to increase the number of the young generation.
  Last but not least, a second child can also stir up the economic development. The Chinese government is encouraging family to have a second child to stimulate the domestic demand.
  To crown it all, the government should not be allowed to limit the number of children a family can have. The moderate increase of the number of the children can have positive influence to the society.
",7,6,7.5,7,7,5
"As it is known to all, in order to control the population, Chinese government is implementing the family planning policy to limit the number of children a family can have, which is also the basic state policy. From my point of view, however, the family planning policy is not adapted to the contemporary society. Therefore, there’s no need for Chinese government to limit the number of children a family can have. The detailed reasons come as follow.
  First of all, the composition of Chinese population has changed a lot. The shortage of young people work force becomes more and more serious. Apart from that, our country has entered a aging society since 2000, which can be proved from the result of the population census. What’s more, as it is predicted by the experts, only if very woman gives birth to over 2.3 children that the society and economy can steadily develop. The birth rate of Chinese women has already been lower than that needed rate for normal population replacement. Last but not least, nowadays most young people are the only child in their family. As a result, newly-married couple is in face of great life pressure from raising 4 elders.
  Generally speaking, although the positive role brought by the family planning policy can not be ignored, the government should not blindly limit the number of children a family can have. Otherwise, it will lead to an severe aging society, sex imbalance as well as a situation of aging before getting rich.

",6,5,5.5,5.5,5,4
" Actually, it’s a controversially international issue whether a government be allowed to limit the number of children a family can have. And the majority of western countries insist that governments are supposed to abandon this policy if they are implementing, claiming that it disobeys the human rights. For that reason, it shouldn’t be allowed theoretically. However, I consider that it ultimately ought to depend on a country’s basic condition.
   China, a typical example of controlling the quantity of newborn babies, which is at the center of controversy. With a large population base, it’s exactly necessary to carry out this ‘birth control’ policy. After all, the population of China highly possible increase so speedy that the lack of foods and resources if our government haven’t allow to limit the number of children.
   Distinct from China, the western country especially like some European countries are firmly oppose ‘birth control’. They protect and support every family to have their babies no matter how many, even awarding the parents who are willing to born. But all these positive policies are based on the condition of a small number of population. What’s more, a part of Europeans don’t want to have children. They have enough space, resources, money to raise children, compared with country like China, and the most important thing--they need these newborn babies for the country’s development.
   There is another example, India, a large amounts of population, is the same as China. The difference is their government never restrict the number of children a family can have. Though it perfectly reveals the humanitarianism, the most terribly result might be accounted for is that India will be the country with the largest population in the world. Apparently, when that moment is coming, space, food, and water are all become problems.
   So, should a government be allowed to limit the number of children a family can have? Yes, I think. Because, I’m living in China.
",5.5,5,5,6,4,3.5
"With the sharp increasing of population, the materials which people needed are increasing as well. Human activities have a deep influence on the environment. We discharge the waste water, release waste gases, cut trees and pollute the soil. More and more disasters occur heavily which attract government attention to solve the problems. The most effective measure they thought is family planning. Also, in my opinion, government should be allowed to limit the number of children a family can have.
By the end of 2010, there is the sixth census just finished. It is said that China has 1.3 billion people. This number means the proportion of population all over the world is 22%. What the most dangerous thing is we own 7% cultivated land. The imbalance between population and cultivated land will lead to the hunger definitely. Therefore, we must control the population and protect land. Not only do good to our country, but it is benefit to the world.
The core purpose of family planning is making the population adapt to the development of productive force. If population’s growth rate exceeds the development of productive force, it will intensify the consequence that I mentioned above; otherwise, it may slow down the speed of economic development because of the deficiency of labor force. Therefore, it is hard to control the population into an adequate section. 
Another aim is enhance the population quality. Government always encourages citizens to give a good birth and good care. Only have we raise the awareness of protect the environment, we can really live a happy life. Hence, we should devote to raise our ideological and moral level, scientific and cultural level and healthy level. And the family planning measure plays the decisive role.
To sum up, I think government should be allowed to limit the number of children a family can have. Just for our better life and lovely planet.
",6,6,7,6,5,4
"In the 19th century, to control the expanding population, Chinese government put out a policy to limit the number of children a family can have. The population controlling policy was always controversial since it born.
Should a government be allowed to limit the number of children a family can have? For China, Yes. It is a vital policy for China. If we don’t limit the number of children, it will be a serve problem in the future. Larger population means heavier burden China will hold. The unlimited-expanding population will even destroy the normal function of a country. For the development of a country, the limitation must exist to prevent to population disaster in the future.
Some western countries think the limitation of the number children violate the basic human right of the parents and the baby unborn. It is a small excuse comparing to the large problem of a country. To protect the meaningless basic human right, we will sacrifice the progress of the whole country and the whole nation. The profit of the country must be more important than the person.And when everything become in hand, the government will cancel the policy in the future.
Too many people means larger scales of environment broken. We are facing the depletion of energy resources.And the larger population will worsen it. We should put our sight further and prevent the disaster from now on. So, the population must be control until we can control.
",3.5,5,5,4.5,4,3
"     Birth control is always a controversy topic since it has been put into practice. It is hard to tell right from wrong for all kinds of social problems we are facing. 
     On the one hand, no limits of the number of children a family can have would worsen population explosion. There are already 7 billion of people on Earth. We are running out of water, oil, fresh air and many other basic resources . Earth can't afford the population raising freely. Larger population means more living places needed. Our extent of forests is already reducing rapidly each year. More people bring less forests ,more endangered animals and more energy consumption. If the government don't limit the number of children a family can have, human survival could even be a problem. 
    As for our human society, birth control could relieve the phenomenon of preferring sons to daughters to some extent. By holding this bias, many families won't stop giving birth to children until they get a son. Obviously, they won't love the girls as much as the boy. To some greedy people, children could even be their commodities without birth control.They can have as many kids as they want anyway, why not selling several kids for money? 
   On the other hand, birth control do brings  some harms such as aging of population.  It causes a series of problems like pensions, labor shortage, more pressures on young people and so on. Due to birth control, young people nowadays don't have brothers or sisters or only have one.  More living burden are falling on the young people's shoulders. Young couples need not only raise their kids but also their four parents.
   To conclude, it's definitely necessary for government to limit the number of children birth in a family. But the specific number and other relevant policies also need to be discussed carefully. Government need to find a balance in this issue.

     
",5.5,5,6.5,5.5,5.5,4
